feature,target,model,n_countries,avg_rmse,std_rmse,min_rmse,max_rmse,avg_mase,std_mase
gas_consumption,gdp,ARIMA,19,378884091106.7679,572636255301.0634,22623960815.652847,2558763473525.229,2.233362115310775,1.849159592945607
gas_consumption,gdp,LSTM,19,2631468685264.84,6090571567472.394,22541618923.68121,22447200187251.387,8.02840972443692,8.483347567192835
gas_consumption,gdp,Bi-LSTM,19,1891375375287.4436,4330586741317.186,17827418810.465683,19350974056012.74,7.715467312677298,7.392803893408199
gas_consumption,gdp,ED-LSTM,19,1698136692283.8079,3142658193910.968,49236900636.282455,11712967051151.527,7.301470230285863,4.304640791157567
gas_consumption,gdp,CNN,19,2445343147756.1064,6622341053011.786,40017112000.1639,29490108554645.695,5.911129253986279,5.203960019967582
energy_per_gdp,gdp,ARIMA,19,614544374072.1455,1492861850614.5437,50290668823.778206,6717640997239.514,1.8264784141010235,0.9675281715576092
energy_per_gdp,gdp,LSTM,19,2117799416385.9219,4080469329476.843,40294992525.2564,18113295714699.652,12.472041122393252,9.586750349338468
energy_per_gdp,gdp,Bi-LSTM,19,2088959440049.1687,4378616243321.901,64868548415.51097,19409308856820.83,11.67297543998177,9.857035253521719
energy_per_gdp,gdp,ED-LSTM,19,2180215419584.5918,4213143667338.5835,49977639737.02386,18831237025711.99,12.940789434203126,8.625801755744128
energy_per_gdp,gdp,CNN,19,2031916734055.199,3874342536429.022,57809538206.3638,16869540106426.244,12.18770921093036,10.346321870365234
population,gdp,ARIMA,19,602453405671.2703,1531136357381.4146,17028527957.078342,7008705559773.5625,2.3749846794994145,1.604060330178898
population,gdp,LSTM,19,1096765738597.6885,2225319206799.0083,89906747373.49675,10223523843605.77,6.255732071507292,5.130641025034499
population,gdp,Bi-LSTM,19,1038454006439.5183,2299888116041.5293,70346882988.25626,10563801801818.63,5.572387706500854,5.014431531773307
population,gdp,ED-LSTM,19,1200777453176.4177,2078542185721.2307,82044303225.79411,7392186570389.476,7.374763554781223,6.1236632606971355
population,gdp,CNN,19,1276288776760.1255,2836978869288.895,76589734562.71352,12879967024438.186,6.520309118886066,4.929286885157588
electricity_generation,primary_energy_consumption,ARIMA,19,289.2176523456346,485.91324525264287,36.94360097227159,2280.8256051575117,1.052179091191297,0.5630224070729707
electricity_generation,primary_energy_consumption,LSTM,19,634.3269115866345,865.1681325951064,34.26760628765599,4003.7595356282804,2.8030034520800218,2.371256554122084
electricity_generation,primary_energy_consumption,Bi-LSTM,19,725.138481040594,1526.14083820555,33.43495222710603,7051.764911883066,2.204463071070252,1.5903952127250363
electricity_generation,primary_energy_consumption,ED-LSTM,19,1080.9706400973712,2739.0204654233407,49.087330823926045,12528.769292638846,2.8131425057586523,1.939160008816747
electricity_generation,primary_energy_consumption,CNN,19,624.5612881153806,1301.9658772828388,29.93015432122996,6054.677770913881,2.046103552028052,1.5829646043731889
oil_consumption,primary_energy_consumption,ARIMA,19,300.80891575740867,428.43249260955713,43.85546350783648,1864.9298424048961,1.3495557921465668,0.7281896917252869
oil_consumption,primary_energy_consumption,LSTM,19,972.8246322318063,1754.6992726236538,75.44054045027526,7940.8448164593665,4.756950339575404,4.382828368926797
oil_consumption,primary_energy_consumption,Bi-LSTM,19,962.4310876681915,1952.8484095393148,59.9317804837965,8980.468510550209,4.087822136366715,2.994385129852411
oil_consumption,primary_energy_consumption,ED-LSTM,19,1273.6069783122082,2516.690569820687,74.62615278017002,11423.155523752004,6.238804622004183,8.708099926334746
oil_consumption,primary_energy_consumption,CNN,19,511.895119159422,405.77157342772085,46.89073801137708,1900.6470601961319,4.015178454036083,3.222449697434289
energy_cons_change_pct,primary_energy_consumption,ARIMA,19,316.1206479809033,627.1497863703794,14.294510049145805,2915.657227409095,1.331068643466351,1.1500424509458764
energy_cons_change_pct,primary_energy_consumption,LSTM,19,2810.501513988731,7103.635844190198,105.61539300104508,32223.008760910714,8.570730647178438,6.709305518689352
energy_cons_change_pct,primary_energy_consumption,Bi-LSTM,19,2788.4441642825545,7053.582145279153,70.6301471687202,31955.019464285208,8.646867696607673,6.867318028744112
